timestamp,left_encoder_count,left_encoder_speed,right_encoder_count,right_encoder_speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,imu_temp,mag_x,mag_y,mag_z,heading
2025-03-02T11:41:33.280577,85958,0.0,57448,0.0,-1.954,0.081,10.262,-0.236,0.038,0.504,26.3,4712,9862,-5610,64.5
2025-03-02T11:41:33.320354,85958,0.0,57448,0.0,-1.92,0.081,10.254,-0.233,0.037,0.509,26.3,4777,9820,-5582,64.1
2025-03-02T11:41:33.398670,85958,0.0,57448,0.0,-1.944,0.09799999,10.319,-0.232,0.031,0.507,26.3,4712,9855,-5567,64.4
2025-03-02T11:41:33.501310,85958,0.0,57448,0.0,-1.949,0.053,10.3,-0.23,0.038,0.512,26.3,4750,9862,-5635,64.3
2025-03-02T11:41:33.601898,85958,0.0,57448,0.0,-1.932,0.09799999,10.319,-0.232,0.04,0.506,26.3,4692,9790,-5610,64.4
2025-03-02T11:41:33.705451,85958,0.0,57448,0.0,-1.932,0.134,10.293,-0.232,0.035,0.508,26.7,4795,9855,-5562,64.1
2025-03-02T11:41:33.809396,85958,0.0,57448,0.0,-1.942,0.11,10.283,-0.236,0.039,0.506,26.3,4735,9867,-5602,64.4
2025-03-02T11:41:33.913613,85958,0.0,57448,0.0,-1.963,0.09099999,10.338,-0.233,0.036,0.507,26.3,4730,9867,-5630,64.4
2025-03-02T11:41:34.018738,85958,0.0,57448,0.0,-1.954,0.096,10.285,-0.234,0.038,0.503,26.2,4757,9892,-5610,64.3
2025-03-02T11:41:34.120941,85958,0.0,57448,0.0,-1.999,0.074,10.283,-0.235,0.037,0.508,26.4,4750,9887,-5582,64.3
2025-03-02T11:41:34.274229,85958,0.0,57448,0.0,-1.954,0.12,10.326,-0.236,0.038,0.505,25.9,4757,9850,-5615,64.2
2025-03-02T11:41:34.369217,85958,0.0,57448,0.0,-1.944,0.086,10.259,-0.235,0.039,0.508,26.4,4687,9887,-5587,64.6
2025-03-02T11:41:34.426572,85958,0.0,57448,0.0,-1.93,0.103,10.266,-0.236,0.032,0.507,26.4,4660,9877,-5577,64.7
2025-03-02T11:41:34.529325,85958,0.0,57448,0.0,-1.939,0.093,10.321,-0.231,0.041,0.504,26.5,4702,9820,-5610,64.4
2025-03-02T11:41:34.632961,85958,0.0,57448,0.0,-1.987,0.117,10.281,-0.239,0.038,0.509,26.3,4750,9855,-5587,64.3
2025-03-02T11:41:34.734853,85958,0.0,57448,0.0,-1.961,0.12,10.297,-0.233,0.037,0.508,26.4,4682,9872,-5610,64.6
2025-03-02T11:41:34.854866,85958,0.0,57448,0.0,-1.92,0.117,10.317,-0.233,0.037,0.509,26.4,4692,9877,-5557,64.6
2025-03-02T11:41:34.939010,85958,0.0,57448,0.0,-1.966,0.077,10.36,-0.236,0.035,0.505,26.4,4697,9922,-5587,64.7
2025-03-02T11:41:35.107685,85958,0.0,57448,0.0,-1.896,0.09799999,10.317,-0.23,0.04,0.501,26.4,4720,9845,-5582,64.4
2025-03-02T11:41:35.168282,85958,0.0,57448,0.0,-1.935,0.129,10.285,-0.233,0.034,0.508,26.3,4697,9862,-5552,64.5
2025-03-02T11:41:35.268569,85958,0.0,57448,0.0,-1.951,0.09099999,10.326,-0.231,0.041,0.506,26.3,4650,9815,-5587,64.7
2025-03-02T11:41:35.349783,85958,0.0,57448,0.0,-1.923,0.084,10.276,-0.233,0.038,0.511,26.4,4745,9845,-5532,64.3
2025-03-02T11:41:35.471158,86089,1200.0,57582,1230.0,-1.717,0.457,10.202,-0.288,-0.058,0.549,26.4,4430,10847,-6402,67.8
2025-03-02T11:41:35.565075,86283,1880.0,57762,1780.0,-4.482,-0.644,9.139,-0.121,-0.248,0.616,26.6,4435,10627,-6047,67.3
2025-03-02T11:41:36.194946,87442,1850.0,58822,1700.0,-1.729,-3.512,-0.001,-0.49,-0.221,0.46,26.2,4697,9975,-5882,64.8
2025-03-02T11:41:36.305320,87642,2000.0,58977,1620.0,-2.291,-0.108,10.489,-0.021,0.14,0.494,26.3,4510,10322,-5995,66.4
2025-03-02T11:41:36.393134,87850,1890.0,59147,1480.0,-2.116,1.12,11.253,0.151,-0.107,0.618,26.3,4655,10052,-5940,65.2
2025-03-02T11:41:36.632337,88241,1960.0,59467,1640.0,-2.466,-2.6,7.13,-0.563,-0.129,0.512,26.4,4467,10145,-5815,66.2
2025-03-02T11:41:36.836318,88633,1860.0,59775,1490.0,-1.188,0.591,11.411,0.145,0.201,0.535,26.3,4585,10205,-5897,65.8
2025-03-02T11:41:36.909357,88829,1890.0,59931,1470.0,-2.136,1.518,17.233,-0.072,-0.006,0.5,26.4,4515,10015,-5862,65.7
2025-03-02T11:41:37.203621,89419,1930.0,60460,1660.0,-2.375,-0.184,6.74,0.029,0.212,0.578,26.3,4665,9840,-5887,64.6
2025-03-02T11:41:37.310699,89628,2070.0,60644,1830.0,-3.103,1.865,14.257,0.169,0.014,0.612,26.4,4482,9965,-5610,65.8
2025-03-02T11:41:37.534852,90101,2050.0,61057,1700.0,-3.881,-0.326,7.341,-0.148,-0.169,0.741,26.3,4660,9785,-5932,64.5
2025-03-02T11:41:37.722792,90468,2080.0,61396,1950.0,-1.032,2.387,19.613,0.08200001,0.102,0.492,26.4,4692,9932,-5747,64.7
2025-03-02T11:41:37.825700,90672,2020.0,61572,1780.0,-1.932,0.522,12.421,-0.506,0.055,0.67,26.7,4895,10145,-5985,64.2
2025-03-02T11:41:37.946841,90921,1960.0,61815,1690.0,-1.688,0.895,9.89,-0.07,0.209,0.322,26.3,4782,9845,-5737,64.1
2025-03-02T11:41:38.055314,91125,2060.0,62005,2050.0,-1.336,-0.735,12.196,-0.436,0.084,0.626,26.3,4922,10057,-6572,63.9
2025-03-02T11:41:38.147661,91318,1880.0,62182,1870.0,-2.437,0.941,10.721,-0.403,0.009,0.557,26.3,4932,10137,-6325,64.1
2025-03-02T11:41:38.270814,91509,1840.0,62360,1720.0,-5.298,-0.043,10.367,-0.131,-0.109,0.48,26.3,4575,10087,-5625,65.6
2025-03-02T11:41:38.473677,91941,1990.0,62741,1690.0,-3.045,-3.603,-0.001,-0.382,-0.075,0.502,26.3,4867,10020,-6165,64.1
2025-03-02T11:41:38.553315,92104,1970.0,62876,1620.0,-3.955,0.385,8.892,-0.558,-0.042,0.749,26.3,4955,10175,-6170,64.0
2025-03-02T11:41:38.668481,92328,2170.0,63057,1810.0,-4.056,-0.747,9.993,-0.333,-0.322,0.476,26.4,4960,10420,-6077,64.5
2025-03-02T11:41:38.751517,92510,1980.0,63211,1640.0,-1.98,1.02,12.926,-0.055,0.101,0.617,26.3,4787,10267,-6047,65.0
2025-03-02T11:41:38.895665,92510,0.0,63211,0.0,-0.855,-0.421,11.523,-0.369,0.028,0.476,26.2,5087,9470,-5490,61.8
2025-03-02T11:41:38.963361,92510,0.0,63211,0.0,-1.93,-0.426,10.175,-0.229,0.041,0.506,26.4,4955,9620,-5495,62.7
2025-03-02T11:41:39.068884,92510,0.0,63211,0.0,-1.906,-0.09099999,10.259,-0.232,0.043,0.503,26.4,4975,9552,-5697,62.5
2025-03-02T11:41:39.160922,92510,0.0,63211,0.0,-1.911,-0.043,10.297,-0.233,0.037,0.501,26.3,4927,9605,-5630,62.8
2025-03-02T11:41:39.273973,92510,0.0,63211,0.0,-1.946,-0.065,10.264,-0.246,0.032,0.506,26.2,4905,9547,-5592,62.8
2025-03-02T11:41:39.378016,92510,0.0,63211,0.0,-1.894,-0.041,10.314,-0.235,0.038,0.501,26.4,4867,9532,-5635,63.0
2025-03-02T11:41:39.477575,92510,0.0,63211,0.0,-1.913,-0.055,10.305,-0.231,0.037,0.501,26.4,4905,9537,-5650,62.8
2025-03-02T11:41:39.584611,92510,0.0,63211,0.0,-1.884,-0.074,10.324,-0.231,0.042,0.503,26.4,4932,9532,-5635,62.6
2025-03-02T11:41:39.705951,92510,0.0,63211,0.0,-1.896,-0.069,10.29,-0.232,0.039,0.498,26.4,4955,9517,-5675,62.5
2025-03-02T11:41:39.787478,92510,0.0,63211,0.0,-1.944,-0.05,10.211,-0.231,0.034,0.5,26.4,4942,9527,-5645,62.6
2025-03-02T11:41:39.890005,92510,0.0,63211,0.0,-1.978,-0.048,10.283,-0.23,0.041,0.503,26.3,4955,9502,-5670,62.5
2025-03-02T11:41:40.008211,92510,0.0,63211,0.0,-1.891,-0.053,10.226,-0.232,0.041,0.505,26.4,4932,9537,-5645,62.7
2025-03-02T11:41:40.115366,92510,0.0,63211,0.0,-1.894,-0.079,10.23,-0.232,0.037,0.505,26.3,4895,9542,-5587,62.8
2025-03-02T11:41:40.226151,92510,0.0,63211,0.0,-1.913,-0.069,10.269,-0.236,0.041,0.502,26.4,4955,9557,-5645,62.6
2025-03-02T11:41:40.296496,92510,0.0,63211,0.0,-1.956,-0.053,10.305,-0.233,0.04,0.509,26.3,4942,9547,-5655,62.6
2025-03-02T11:41:40.420074,92510,0.0,63211,0.0,-1.87,-0.067,10.305,-0.233,0.039,0.504,26.4,4975,9552,-5610,62.5
2025-03-02T11:41:40.512018,92510,0.0,63211,0.0,-1.884,-0.065,10.319,-0.234,0.037,0.506,26.3,4965,9527,-5655,62.5
2025-03-02T11:41:40.606642,92510,0.0,63211,0.0,-1.93,-0.026,10.242,-0.232,0.039,0.503,26.3,4992,9537,-5645,62.4
2025-03-02T11:41:40.730751,92510,0.0,63211,0.0,-1.906,-0.072,10.259,-0.235,0.037,0.501,26.4,4975,9547,-5665,62.5
